onset	duration	scoring_idx	scoring
4976.02	30	1	Wake
5006.02	30	1	Wake
5036.02	30	1	Wake
5066.02	30	1	Wake
5096.02	30	1	Wake
5126.02	30	1	Wake
5156.02	30	1	Wake
5186.02	30	1	Wake
5216.02	30	1	Wake
5246.02	30	1	Wake
5276.02	30	1	Wake
5306.02	30	1	Wake
5336.02	30	1	Wake
5366.02	30	1	Wake
5396.02	30	3	N1
5426.02	30	3	N1
5456.02	30	3	N1
5486.02	30	4	N2
5516.02	30	4	N2
5546.02	30	4	N2
5576.02	30	4	N2
5606.02	30	3	N1
5636.02	30	4	N2
5666.02	30	4	N2
5696.02	30	4	N2
5726.02	30	4	N2
5756.02	30	4	N2
5786.02	30	4	N2
5816.02	30	4	N2
5846.02	30	4	N2
5876.02	30	4	N2
5906.02	30	4	N2
5936.02	30	4	N2
5966.02	30	4	N2
5996.02	30	4	N2
6026.02	30	4	N2
6056.02	30	4	N2
6086.02	30	4	N2
6116.02	30	4	N2
6146.02	30	5	N3
6176.02	30	5	N3
6206.02	30	5	N3
6236.02	30	5	N3
6266.02	30	5	N3
6296.02	30	4	N2
6326.02	30	5	N3
6356.02	30	5	N3
6386.02	30	5	N3
6416.02	30	5	N3
6446.02	30	5	N3
6476.02	30	5	N3
6506.02	30	5	N3
6536.02	30	5	N3
6566.02	30	5	N3
6596.02	30	5	N3
6626.02	30	5	N3
6656.02	30	5	N3
6686.02	30	5	N3
6716.02	30	5	N3
6746.02	30	5	N3
6776.02	30	5	N3
6806.02	30	5	N3
6836.02	30	5	N3
6866.02	30	5	N3
6896.02	30	5	N3
6926.02	30	5	N3
6956.02	30	5	N3
6986.02	30	5	N3
7016.02	30	5	N3
7046.02	30	5	N3
7076.02	30	5	N3
7106.02	30	5	N3
7136.02	30	5	N3
7166.02	30	5	N3
7196.02	30	5	N3
7226.02	30	5	N3
7256.02	30	5	N3
7286.02	30	5	N3
7316.02	30	5	N3
7346.02	30	5	N3
7376.02	30	5	N3
7406.02	30	5	N3
7436.02	30	5	N3
7466.02	30	5	N3
7496.02	30	5	N3
7526.02	30	5	N3
7556.02	30	5	N3
7586.02	30	5	N3
7616.02	30	5	N3
7646.02	30	5	N3
7676.02	30	5	N3
7706.02	30	5	N3
7736.02	30	4	N2
7766.02	30	4	N2
7796.02	30	4	N2
7826.02	30	5	N3
7856.02	30	5	N3
7886.02	30	5	N3
7916.02	30	5	N3
7946.02	30	5	N3
7976.02	30	5	N3
8006.02	30	5	N3
8036.02	30	5	N3
8066.02	30	5	N3
8096.02	30	5	N3
8126.02	30	5	N3
8156.02	30	5	N3
8186.02	30	5	N3
8216.02	30	5	N3
8246.02	30	5	N3
8276.02	30	5	N3
8306.02	30	5	N3
8336.02	30	5	N3
8366.02	30	5	N3
8396.02	30	5	N3
8426.02	30	4	N2
8456.02	30	4	N2
8486.02	30	4	N2
8516.02	30	5	N3
8546.02	30	4	N2
8576.02	30	5	N3
8606.02	30	5	N3
8636.02	30	5	N3
8666.02	30	5	N3
8696.02	30	5	N3
8726.02	30	5	N3
8756.02	30	5	N3
8786.02	30	5	N3
8816.02	30	5	N3
8846.02	30	4	N2
8876.02	30	4	N2
8906.02	30	4	N2
8936.02	30	4	N2
8966.02	30	3	N1
8996.02	30	4	N2
9026.02	30	4	N2
9056.02	30	4	N2
9086.02	30	4	N2
9116.02	30	4	N2
9146.02	30	4	N2
9176.02	30	5	N3
9206.02	30	4	N2
9236.02	30	4	N2
9266.02	30	4	N2
9296.02	30	4	N2
9326.02	30	4	N2
9356.02	30	4	N2
9386.02	30	4	N2
9416.02	30	4	N2
9446.02	30	4	N2
9476.02	30	4	N2
9506.02	30	4	N2
9536.02	30	4	N2
9566.02	30	4	N2
9596.02	30	4	N2
9626.02	30	4	N2
9656.02	30	4	N2
9686.02	30	4	N2
9716.02	30	4	N2
9746.02	30	4	N2
9776.02	30	4	N2
9806.02	30	4	N2
9836.02	30	4	N2
9866.02	30	4	N2
9896.02	30	4	N2
9926.02	30	4	N2
9956.02	30	4	N2
9986.02	30	4	N2
10016.02	30	5	N3
10046.02	30	5	N3
10076.02	30	5	N3
10106.02	30	5	N3
10136.02	30	5	N3
10166.02	30	5	N3
10196.02	30	5	N3
10226.02	30	3	N1
10256.02	30	3	N1
10286.02	30	4	N2
10316.02	30	4	N2
10346.02	30	4	N2
10376.02	30	4	N2
10406.02	30	4	N2
10436.02	30	4	N2
10466.02	30	4	N2
10496.02	30	4	N2
10526.02	30	4	N2
10556.02	30	4	N2
10586.02	30	4	N2
10616.02	30	4	N2
10646.02	30	4	N2
10676.02	30	4	N2
10706.02	30	5	N3
10736.02	30	5	N3
10766.02	30	5	N3
10796.02	30	5	N3
10826.02	30	4	N2
10856.02	30	4	N2
10886.02	30	4	N2
10916.02	30	3	N1
10946.02	30	4	N2
10976.02	30	4	N2
11006.02	30	4	N2
11036.02	30	4	N2
11066.02	30	4	N2
11096.02	30	4	N2
11126.02	30	4	N2
11156.02	30	4	N2
11186.02	30	4	N2
11216.02	30	4	N2
11246.02	30	4	N2
11276.02	30	5	N3
11306.02	30	4	N2
11336.02	30	4	N2
11366.02	30	4	N2
11396.02	30	4	N2
11426.02	30	4	N2
11456.02	30	4	N2
11486.02	30	4	N2
11516.02	30	4	N2
11546.02	30	4	N2
11576.02	30	4	N2
11606.02	30	5	N3
11636.02	30	5	N3
11666.02	30	5	N3
11696.02	30	5	N3
11726.02	30	5	N3
11756.02	30	5	N3
11786.02	30	4	N2
11816.02	30	4	N2
11846.02	30	5	N3
11876.02	30	5	N3
11906.02	30	5	N3
11936.02	30	5	N3
11966.02	30	4	N2
11996.02	30	4	N2
12026.02	30	4	N2
12056.02	30	4	N2
12086.02	30	5	N3
12116.02	30	5	N3
12146.02	30	5	N3
12176.02	30	5	N3
12206.02	30	4	N2
12236.02	30	5	N3
12266.02	30	5	N3
12296.02	30	5	N3
12326.02	30	5	N3
12356.02	30	5	N3
12386.02	30	5	N3
12416.02	30	5	N3
12446.02	30	5	N3
12476.02	30	5	N3
12506.02	30	5	N3
12536.02	30	5	N3
12566.02	30	5	N3
12596.02	30	5	N3
12626.02	30	5	N3
12656.02	30	5	N3
12686.02	30	5	N3
12716.02	30	5	N3
12746.02	30	5	N3
12776.02	30	5	N3
12806.02	30	5	N3
12836.02	30	5	N3
12866.02	30	5	N3
12896.02	30	5	N3
12926.02	30	5	N3
12956.02	30	5	N3
12986.02	30	5	N3
13016.02	30	5	N3
13046.02	30	5	N3
13076.02	30	5	N3
13106.02	30	5	N3
13136.02	30	5	N3
13166.02	30	5	N3
13196.02	30	5	N3
13226.02	30	5	N3
13256.02	30	5	N3
13286.02	30	5	N3
13316.02	30	5	N3
13346.02	30	5	N3
13376.02	30	5	N3
13406.02	30	5	N3
13436.02	30	5	N3
13466.02	30	4	N2
13496.02	30	4	N2
13526.02	30	3	N1
13556.02	30	4	N2
13586.02	30	1	Wake
13616.02	30	1	Wake
13646.02	30	3	N1
13676.02	30	4	N2
13706.02	30	4	N2
13736.02	30	4	N2
13766.02	30	4	N2
13796.02	30	3	N1
13826.02	30	4	N2
13856.02	30	4	N2
13886.02	30	4	N2
13916.02	30	4	N2
13946.02	30	4	N2
13976.02	30	4	N2
14006.02	30	4	N2
14036.02	30	4	N2
14066.02	30	4	N2
14096.02	30	3	N1
14126.02	30	4	N2
14156.02	30	4	N2
14186.02	30	4	N2
14216.02	30	3	N1
14246.02	30	3	N1
14276.02	30	4	N2
14306.02	30	4	N2
14336.02	30	4	N2
14366.02	30	4	N2
14396.02	30	4	N2
14426.02	30	3	N1
14456.02	30	4	N2
14486.02	30	4	N2
14516.02	30	4	N2
14546.02	30	4	N2
14576.02	30	4	N2
14606.02	30	4	N2
14636.02	30	4	N2
14666.02	30	3	N1
14696.02	30	3	N1
14726.02	30	4	N2
14756.02	30	4	N2
14786.02	30	4	N2
14816.02	30	4	N2
14846.02	30	4	N2
14876.02	30	4	N2
14906.02	30	4	N2
14936.02	30	4	N2
14966.02	30	4	N2
14996.02	30	3	N1
15026.02	30	4	N2
15056.02	30	4	N2
15086.02	30	4	N2
15116.02	30	4	N2
15146.02	30	4	N2
15176.02	30	4	N2
15206.02	30	4	N2
15236.02	30	4	N2
15266.02	30	4	N2
15296.02	30	4	N2
15326.02	30	4	N2
15356.02	30	4	N2
15386.02	30	4	N2
15416.02	30	4	N2
15446.02	30	4	N2
15476.02	30	4	N2
15506.02	30	3	N1
15536.02	30	3	N1
15566.02	30	4	N2
15596.02	30	4	N2
15626.02	30	4	N2
15656.02	30	4	N2
15686.02	30	4	N2
15716.02	30	4	N2
15746.02	30	4	N2
15776.02	30	4	N2
15806.02	30	3	N1
15836.02	30	3	N1
15866.02	30	1	Wake
15896.02	30	3	N1
15926.02	30	4	N2
15956.02	30	4	N2
15986.02	30	4	N2
16016.02	30	3	N1
16046.02	30	3	N1
